Director,NodeID
,180
Andr--s Couturier,2379
Stuart Gillard,13196
Tobe Hooper,2036
Peter Kassovitz,3387
Rich Cowan,5490
Shane Meadows,8426
Sol Tryon,13480
Tony Bancroft,11026
John Gulager,8287
Shari Springer Berman,2145
Walter Salles,6398
Stefen Fangmeier,330
Jeff Kanew,2490
Collin Schiffli,2798
Catherine Owens,11664
Jorge Ram--rez Su--rez,5519
Francis Lawrence,4271
Don Mancini,2671
Paul Haggis,2921
Henry Hathaway,13502
Werner Herzog,3877
Andrew Haigh,821
Lee Tamahori,4707
Gary McKendry,2923
Mark Tarlov,4914
Ruben Fleischer,7807
John Putch,4985
Michael Kang,5547
Jeffrey W. Byrd,7880
Laurence Dunmore,11813
Miguel Sapochnik,11476
Rupert Wainwright,9751
Daniele Luchetti,13075
John Erick Dowdle,3215
Brian Yuzna,8453
Kevin Smith,1969
George Nolfi,7539
Vicky Jewson,1880
Jeta Amata,645
Carol Reed,2722
Jennifer Wynne Farmer,1069
Bruce McCulloch,4028
Kirk Jones,251
George Cukor,12301
Ken Shapiro,1651
Bille Woodruff,2421
Scott Dow,6010
Nicholas Fackler,5568
Anthony Bell,9249
Catherine Hardwicke,1282
Joseph Zito,7830
Jamin Winans,12898
Michel Leclerc,8235
Jay Duplass,1004
Gene Teigland,5727
Josh Schwartz,6241
Anna Mastro,12675
John G. Avildsen,5460
Jonathan Dayton,4370
Gus Van Sant,816
Gary David Goldberg,3940
Joe Pytka,3922
Preston A. Whitmore II,904
Petter N--ss,10131
Brett Ratner,1457
Regardt van den Bergh,6436
Boris Rodriguez,5469
Jesse Peretz,4905
Joe Wright,826
Serdar Akar,5002
Joseph Green,11424
Mickey Liddell,5033
Anne Fletcher,908
Andrey Zvyagintsev,8005
Danny Boyle,1468
Sam Raimi,396
Dan Perri,11988
Benjamin Dickinson,11860
Hans Canosa,4522
Ralph Ziman,1305
Dario Argento,1734
Robert Stevenson,1931
Uli Edel,3266
Efram Potelle,5120
Steve Beck,5352
Charles Adelman,4444
Zack Ward,5216
Michael Ritchie,689
Gilles Paquet-Brenner,1839
David Nixon,8546
Melvin Van Peebles,117
Marcos Siega,5435
David Lynch,1447
Tony Richardson,5637
Walt Becker,935
John Hillcoat,3475
Eric Blakeney,13349
Arthur Hiller,4366
Sergey Bodrov,6570
Quentin Tarantino,386
Christine Jeffs,2155
Sharron Miller,7441
Frank Oz,1079
William Phillips,7674
Louis C.K.,9555
Patrick Gilles,12558
Lucile Hadzihalilovic,13209
William Malone,1731
Douglas McGrath,1321
Todd Solondz,2003
Doug Lefler,5621
Barbet Schroeder,10339
Gerald Potterton,10394
Jessica Bendinger,12000
Kar-Wai Wong,6335
Michael Herz,5887
Billy Wilder,3367
Nils Gaup,8461
Paul Tibbitt,859
Kurt Wimmer,3419
Michael Roemer,6752
Jonathan Hensleigh,12590
Carlos Carrera,6955
John Maclean,745
Lance McDaniel,7209
RZA,7317
Richard Lester,373
Aaron Schneider,9130
Peter Landesman,11170
Kevin Tancharoen,10849
Dany Boon,3219
Alexandre Aja,3937
Steve Carver,3742
Gregory Hoblit,4238
Darren Lynn Bousman,3236
Rowan Joffe,2290
Daisy von Scherler Mayer,12592
Dan Mazer,8291
David Lam,9486
Scott Derrickson,547
Brad Silberling,6244
Chris Robinson,11682
Jackie Earle Haley,6632
David R. Ellis,4433
Lorene Scafaria,7147
Kunihiko Yuyama,8378
Sam Miller,2014
Deryck Broom,1050
Meiert Avis,5345
Marco Kreuzpaintner,8932
Peter Farrelly,1325
Joseph L. Mankiewicz,12239
Rita Merson,2714
Phyllida Lloyd,4269
Dan Ireland,13338
Jason Eisener,10802
Joel Gallen,12627
John Reinhardt,12767
Ronan Chapalain,7652
Hal Needham,12199
Corey Grant,10938
Andrew Leman,13201
Danny Provenzano,11121
Ed Gass-Donnelly,11143
Michel Hazanavicius,529
Ernest R. Dickerson,5041
Barbra Streisand,4301
Asger Leth,2942
Anand Tucker,2098
Tom Walsh,438
Dave Carroll,12970
Sydney Pollack,2057
Bob Spiers,8833
Bobcat Goldthwait,13397
Edgar Wright,9869
Tim Boxell,13453
Iain Softley,5427
Bob Giraldi,13504
Tamara Jenkins,3904
Lawrence Guterman,1788
Warren P. Sonoda,2991
Bruno Barreto,9653
Phil Traill,9657
S.S. Rajamouli,9065
Matt Maiellaro,8229
John Stephenson,8873
Steven Zaillian,2038
Michael Cohn,2651
Babak Najafi,3946
George Lucas,694
James Gunn,10242
Jon Turteltaub,409
Penelope Spheeris,13002
Daniel Barber,3914
Troy Duffy,3782
Harald Reinl,4498
David Cross,6728
Steven R. Monroe,8720
Hark Tsui,8637
Jason Stone,7727
Steve McQueen,8660
Alan Taylor,5307
Charles S. Dutton,2741
Noel Marshall,486
Sharon Maguire,9655
Jake Paltrow,8160
Hugh Hudson,3441
Bo Welch,13232
Bruce Hunt,1271
Hoyt Yeatman,13013
Michael O. Sajbel,6758
Vicky Jenson,7280
Henry Koster,12745
Jamie Babbit,5882
Dan Reed,10092
Stefan Schwartz,11215
Christophe Ali,10331
Patrick Lussier,6782
Katherine Brooks,11803
Tom Shadyac,2865
Bonnie Hunt,12613
H.M. Coakley,2548
Tom McGrath,11229
Gillian Robespierre,8245
Gordon Chan,12844
Ethan Maniquis,10870
David Ray,12255
Jack Heller,1529
Danny Cannon,7127
Michael Martin,3433
David Oelhoffen,11707
Joe Cornish,9384
Peter Howitt,1766
Panos Cosmatos,10265
Karyn Kusama,1805
Will Canon,7988
Levan Gabriadze,424
John Dahl,5834
Jim Field Smith,7757
Michael Cimino,10037
Jake Goldberger,2637
Don Siegel,3563
Harmage Singh Kalirai,9097
John Ford,789
Arjun Sablok,2471
Tom Dey,7421
Anthony Silverston,12488
Julien Temple,11908
Tom McCarthy,5678
Hugh Wilson,6883
Saul Dibb,7163
Michael Spierig,3950
James Melkonian,9649
Kevin Tenney,7224
Mike van Diem,5291
Stephen Daldry,3122
Leonard Farlinger,5255
Oren Moverman,6764
M--ns M--rlind,3698
David Wain,4764
Michael Burke,6562
Xavier Beauvois,7159
Christian Ditter,10189
Sacha Bennett,11370
Dan Curtis,11222
Richard Kwietniowski,5333
Baz Luhrmann,89
John Crowley,12528
Dean Wright,2507
Joachim R--nning,218
Susan Seidelman,6188
Fred Walton,13549
Michael Radford,7024
Marc Webb,3254
Bronwen Hughes,4193
Alan Rudolph,12784
Ken Annakin,2578
Vincent Paronnaud,5295
Robinson Devor,12639
Jim Sonzero,10814
Rusty Cundieff,4164
Jehane Noujaim,13089
Nicholas Ray,5978
Steve Carr,4939
Tom Brady,7893
Mike Judge,255
James David Pasternak,11331
Randall Wallace,4931
Christopher Barnard,11077
Steve James,8850
John Madden,1973
Bart Freundlich,3832
David Koepp,7974
Chris Roberts,11855
William Bindley,8780
Kabir Sadanand,6585
Cameron Crowe,6921
Jimmy Hayward,7517
Tim Burton,1356
Chatrichalerm Yukol,12151
Kirk Loudon,2928
Lars von Trier,836
C. Fraser Press,7528
Sadyk Sher-Niyaz,13537
Hunter Richards,4296
Lance Rivera,4340
Tina Gordon Chism,11891
Darren Aronofsky,1158
Clay Kaytis,2717
Wych Kaosayananda,5149
Mariette Monpierre,7823
Gary Hardwick,9111
Tim McCanlies,5411
Jamel Debbouze,3855
Hironobu Sakaguchi,2674
Thomas Vinterberg,2555
Andrew Douglas,4456
Paul Mazursky,175
Tommy Wirkola,8329
James Cameron,1594
Jeff Nathanson,6536
Alejandro G. I----rritu,636
Jonathan Wacks,13365
Nat Faxon,9558
Robert Rossen,12391
John Simpson,11739
James Mottern,10876
Barry Cook,3455
Mike Barker,6813
James Bridges,7168
Nima Nourizadeh,3380
Amat Escalante,3011
Oren Peli,7609
Neil Mcenery-West,10823
Katt Shea,11767
Greg Marcks,11083
Hong-jin Na,2820
Peter Weir,1182
Peter DeLuise,8310
Darren Grant,4420
Elaine May,1579
Scott Frank,6865
Mennan Yapo,2338
Giuliano Montaldo,5920
Tom Sanchez,9409
Lucrecia Martel,6770
Bruce McDonald,1524
Michael McCullers,3556
Gavin O'Connor,1949
Vic Armstrong,11022
Chris Stokes,4667
Todd Lincoln,2054
Harley Cokeliss,6688
C--dric Klapisch,3829
Steven E. de Souza,13431
James Cox,5123
Richard Dutcher,12939
Stuart Gordon,9356
Timothy Woodward Jr.,7775
Jamal Hill,4966
Howard Hawks,11264
Jack Smight,7066
Tom Putnam,10110
Joel Zwick,7042
Kaige Chen,3713
Roger Nygard,5930
Gerard Johnstone,5878
Lee Daniels,6358
Jake Kasdan,1934
Harry F. Millarde,7072
Jugal Hansraj,8432
Dan Harris,8320
Dustin Hoffman,1802
Peter Webber,1252
Terry Gilliam,3118
Jack Conway,13288
Joel Paul Reisig,2693
Peter Billingsley,804
Yimou Zhang,490
Matt Dillon,9270
Ted Kotcheff,5486
Baltasar Korm--kur,8466
Leslie H. Martinson,11569
Steve Taylor,5221
Georg Wilhelm Pabst,9934
James Bidgood,433
Shana Feste,6494
Jason Bateman,4424
George Clooney,4766
David Palmer,8955
Gavin Hood,882
Mark Christopher,10289
Jack Perez,8556
Shona Auerbach,10957
Antonia Bird,8917
Bobby Farrelly,3792
Simeon Rice,3473
Craig Gillespie,2113
Mark L. Lester,4832
David Robert Mitchell,1826
Elizabeth Allen Rosenbaum,12204
Jason Alexander,9422
Paul Donovan,10104
Kiyoshi Kurosawa,12041
George Miller,1189
Steve Boyum,6868
Alexander Payne,189
Norman Jewison,1228
Seth MacFarlane,1309
Matt Bettinelli-Olpin,3205
Justin Molotnikov,6060
John Landis,9257
John Hamburg,6675
Gary Trousdale,6673
Dwight H. Little,5582
Simon Curtis,13227
Walter Lang,4428
Cody Cameron,12521
Richard Donner,557
Mikael Salomon,7340
Stefan Ruzowitzky,5136
Michael Polish,1402
Victor Fleming,8182
Jim Amatulli,6610
David Lean,2747
Jamie Travis,3918
Bob Odenkirk,2530
Stanley Kubrick,4493
Lisanne Pajot,7941
Sergio Leone,3029
Mark A.Z. Dipp--,8096
Giuseppe Tornatore,10518
Steven Seagal,4864
Gonzalo L--pez-Gallego,3493
Malcolm D. Lee,3612
Scott Ziehl,10916
Taylor Hackford,2342
Jonathan Jakubowicz,5974
Christopher Nolan,4405
Cathy Malkasian,6305
Phil Alden Robinson,13493
Susanne Bier,4354
Fred Schepisi,7241
Bruce Macdonald,12660
J--r--me Salle,12975
Myles Berkowitz,6651
Wade Gasque,2024
Carl Franklin,8590
Christian E. Christiansen,7496
Neema Barnette,2213
John Eng,7948
Brandon Cronenberg,13030
Ash Brannon,10379
Marc F. Adler,9733
Kenneth Lonergan,6606
Sue Corcoran,4267
Scott Stewart,6472
Risa Bramon Garcia,4648
Roger Michell,5283
Fernando Meirelles,8054
Adrienne Shelly,10474
Clark Johnson,7161
Alex Gibney,879
John Michael McDonagh,11711
Shekar,10430
Nathan Greno,6834
Yuefeng Song,6925
Mimi Leder,39
Claudia Llosa,11635
William Eubank,2262
Matthew R. Anderson,1686
Christian Duguay,9706
Zach Braff,841
Daniel Myrick,8342
Brian Caunter,9240
Michael Taliferro,6620
Rodman Flender,10846
Bob Clark,1168
Timothy Hines,9013
Peter Kosminsky,8102
Brian Helgeland,4240
Jean-Pierre Jeunet,3228
Genndy Tartakovsky,288
Rohan Sippy,13434
Noah Buschel,7201
Rob Bowman,3151
Jane Campion,4558
Eldar Rapaport,11997
Robert Adetuyi,2786
J.J. Abrams,8684
Stephen Hillenburg,4799
Ryan Fleck,9037
Jessy Terrero,4506
Christopher Guest,4356
Jeff Franklin,7499
Daston Kalili,6146
Nathan Frankowski,2217
Blair Erickson,1574
Charles Ferguson,10308
J.B. Rogers,228
Paul Gross,6365
Anna Boden,9511
Remo,5939
Frederik Du Chau,4861
Eric Lartigau,11197
Sergey Bondarchuk,4109
David McNally,4320
Duke Johnson,6224
Valentine,12288
Antonio Simoncini,8938
Angelo Pizzo,10788
Brendan Malloy,1398
Ken Loach,10711
Nick Hamm,12449
Gregor Jordan,11172
Floria Sigismondi,4540
Rob Schmidt,5841
Peter Ramsey,11465
David Kellogg,5596
Sylvester Stallone,1887
Chia-Liang Liu,7769
Peter Hedges,5634
Stefan C. Schaefer,9197
Ira Sachs,19
Neill Dela Llana,8347
Gaspar No--,3657
Kevin Bray,12097
Richard Schenkman,5856
James Fargo,12163
Ron Maxwell,1818
Jack Sholder,10363
Jamie Blanks,4101
Livingston Oden,9217
Stuart Hazeldine,7844
Paul Fierlinger,59
John Hoffman,1381
Richard Glatzer,1389
Kevin Brodie,10196
Eli Roth,7028
Molly Bernstein,10933
Hal Haberman,10272
Albert Hughes,4610
Ice Cube,7763
Darnell Martin,6377
Guillaume Canet,5054
Michael Meredith,12570
Stewart Hendler,2238
Jan de Bont,3069
Marco Schnabel,7124
Rick de Oliveira,10069
Robert Schwentke,6023
Rob Pritts,12235
Olatunde Osunsanmi,8112
Leon Ford,2443
John Schlesinger,3232
Tony Gilroy,1944
John Waters,3187
Vincente Minnelli,12891
Paolo Monico,203
Travis Cluff,7195
John Pasquin,377
James Nunn,10905
Roman Polanski,3544
Jim Gillespie,7957
Mark Pellington,131
Chris Gorak,8373
Andrea Arnold,917
Olivier Dahan,4634
Joseph Mazzella,1559
Sam Peckinpah,6551
Michael Lehmann,6288
Tyler Perry,1745
Anne Fontaine,2065
Gnana Rajasekaran,3864
Stig Bergqvist,3049
Pece Dingo,2499
Bob Rafelson,2565
Leonard Nimoy,8895
Gia Coppola,4394
Alan Metter,7932
Kyle Balda,1151
Joel Anderson,628
Kevin Macdonald,1857
John Cornell,3498
Nick Gomez,3752
Mike Leigh,754
George Armitage,1659
Dan O'Bannon,5314
Britt Allcroft,12048
Blaz Zavrsnik,722
Liv Ullmann,5140
David Zucker,850
Feroz Abbas Khan,6046
Franck Khalfoun,10620
Christopher Hutson,12275
Nick Murphy,4184
Moustapha Akkad,12698
Charlie Levi,8732
Caryn Waechter,8188
Jake Scott,8094
Mike Bigelow,7299
Matt Johnson,9720
Dito Montiel,11930
Brandon Camp,1206
Jonathan Frakes,4503
Jim Issa,4174
Hugh Johnson,10537
Sarik Andreasyan,13551
Fran--ois Girard,572
Giovanni Zelko,1488
Steve Bendelack,11210
Mary Lambert,2590
Richard Attenborough,6185
Wes Craven,1330
Mark Illsley,2525
Andy Garcia,9221
Michael Sucsy,3567
Colin Trevorrow,11963
Sally Potter,9346
Jean-Fran--ois Richet,9058
Drew Goddard,11512
Dominique Othenin-Girard,8862
John Blanchard,1985
Peter Hastings,12735
Udayan Prasad,6055
Dave Green,703
John Stainton,1965
Douglas Trumbull,10893
John Singleton,4744
Robert C. Cooper,5237
Sara Sugarman,5482
Andrew Hyatt,8654
Brett Leonard,3978
David Frankel,3653
Noam Murro,10053
Joe Camp,8258
Gareth Edwards,6526
Nelson McCormick,1898
Gurinder Chadha,8578
Shinji Aramaki,8612
Bryan Barber,12806
John Lafia,1108
Adam Carolla,12781
Dan Cutforth,13056
Leon Ichaso,7257
David Boyd,7620
Phil Joanou,6877
Michel Orion Scott,94
Scott Speer,458
Justin Kerrigan,12132
Eddie O'Flaherty,12837
Keith Gordon,5389
Brian Henson,736
Denys Arcand,11380
Matt Williams,13306
Robert Duvall,9516
James DeMonaco,2302
Dan Fogelman,11368
Craig Zobel,9157
Jaco Booyens,11702
Fernando Le--n de Aranoa,8664
Vijay Chandar,8960
Steven Brill,3788
Irwin Winkler,567
Jeremy Degruson,6448
Jonathan Kaplan,6309
JK Youn,5031
Vivek Agnihotri,13117
Geoff Murphy,7554
Andr-- T--chin--,5132
Stephen Langford,5866
Tuck Tucker,1503
Matthew Bright,9370
Renny Harlin,1642
Andrew Wilson,1780
Bob Gosse,5279
R.J. Cutler,9529
Jim Abrahams,3079
G--rard Krawczyk,12293
Emile Ardolino,9738
Thomas Lilti,6646
Jason Miller,2019
Anthony C. Ferrante,10921
Gary Nelson,9793
Ruairi Robinson,8042
Ruba Nadda,10798
James Kerwin,9828
John McTiernan,2160
David Sington,4519
Alison Maclean,13169
Jonas --kerlund,10182
Betty Thomas,1612
Analeine Cal y Mayor,12177
Jonathan Parker,5542
J--r--me Deschamps,7412
Will Finn,5382
Michael Winterbottom,2535
Kurt Voss,13248
Mark Herman,1096
Yarrow Cheney,9479
Khalil Sullins,5325
Alex Rivera,9990
Klaus Menzel,5540
Pierre Coffin,3550
Costa-Gavras,2484
Pat Holden,995
Reed Cowan,5262
Peter Cattaneo,3805
Valeri Milev,5478
Chan-wook Park,6072
Paolo Sorrentino,4563
Wajahat Rauf,7269
Linda Mendoza,4383
Alex Proyas,4828
Matthew O'Callaghan,11312
Collin Joseph Neal,12213
John Francis Daley,3327
Carroll Ballard,3750
Lori Silverbush,11566
Ericson Core,7658
Willard Huyck,2087
Eric Valette,8368
Ivan Reitman,3778
Angelina Jolie Pitt,5562
Lloyd Bacon,10455
Niels Arden Oplev,8139
Mike Mitchell,1360
Curtis Hanson,1496
Benedek Fliegauf,9673
Mike Disa,3989
John Bonito,13186
Julian Schnabel,8080
John Cromwell,1031
Anurag Basu,6950
Kevin Lima,779
Michael J. Bassett,11270
Daniel Mellitz,3640
Michael Haneke,4246
Don Hall,10642
Chris Koch,3859
Spencer Susser,6514
Robert Iscove,7229
Jodie Foster,9790
Rakesh Roshan,1286
Mike Binder,6901
Nick Cassavetes,6002
Morgan Spurlock,2610
Rob Zombie,7478
Brenda Chapman,3158
St--phane Aubier,12962
Robert Ben Garant,2411
Raja Gosnell,1926
Johnny Remo,1894
Zal Batmanglij,6104
Gary Winick,7656
James Algar,591
Mitchell Altieri,11279
Stephen Milburn Anderson,13346
Paul Weitz,10167
John Sayles,3992
Christian Volckman,4466
James Frawley,8812
Craig Johnson,3756
William Shatner,10818
Mike Cahill,10325
Joby Harold,6903
Marius A. Markevicius,13178
Robert Fontaine,11192
Thorbj--rn Christoffersen,2599
Patricia Rozema,11257
Mark Helfrich,6892
Jason Moore,6642
David LaChapelle,4278
Dave McKean,6374
David Lowery,10313
John Glen,1386
John Whitesell,3785
Sean Penn,6088
David DeCoteau,2177
John Frankenheimer,4889
David Fincher,3052
John Carl Buechler,7537
Zak Penn,9245
Eric Brevig,4942
Lynne Ramsay,4685
Brian Koppelman,9342
David Dobkin,2354
Ari Folman,11020
Adrian Lyne,708
Gary Sherman,7945
Heidi Ewing,10558
